panel_name	mondo_id	gene_symbol_list
Pilarowski-Bjornsson syndrome	MONDO:0060568	CHD1
aggrecan-related bone disorder	MONDO:0018239	ACAN
cardiofaciocutaneous syndrome 2	MONDO:0014112	KRAS
T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency	MONDO:0015701	IL7R
arteriovenous hemangioma/malformation	MONDO:0001256	EPHB4 | IL6 | KRAS
hypopharyngeal carcinoma	MONDO:0005216	ING1 | PTEN | TNFRSF10B
adenine phosphoribosyltransferase deficiency	MONDO:0013869	APRT
colorectal cancer, hereditary nonpolyposis, type 8	MONDO:0013196	EPCAM
keratolytic winter erythema	MONDO:0007854	CTSB
fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3	MONDO:0012512	TSFM
short-rib thoracic dysplasia 15 with polydactyly	MONDO:0014907	DYNC2LI1
non-syndromic renal or urinary tract malformation	MONDO:0019720	ACE | AGT | AGTR1 | BMP4 | DSTYK | FGF20 | FRAS1 | FREM1 | FREM2 | GREB1L | HNF1B | ITGA8 | PAX2 | PBX1 | REN | RET | UPK3A
lazy leukocyte syndrome	MONDO:0007883	WDR1
moderately severe hemophilia A	MONDO:0015720	F8
systemic autoimmune disease	MONDO:0015939	ADA2 | BANK1 | BLK | C1QA | C1R | C4A | C4B | CAV1 | CCN2 | CCR6 | COPA | CR2 | CTLA4 | DNASE1 | DNASE1L3 | ETS1 | FBN1 | FCGR2A | FCGR2B | FCGR3B | HLA-DRB1 | IL10 | IRAK1 | IRF5 | ITCH | ITGAM | JAZF1 | KIAA0319L | LBR | MECP2 | NOD2 | PDCD1 | PLCG2 | PRKCD | PTPN22 | PXK | SAMHD1 | SPP1 | STAT3 | STAT4 | TNFAIP3 | TNFSF4 | TNIP1 | TPP2 | TREX1 | UBE2L3
dilated cardiomyopathy 1NN	MONDO:0014396	RAF1
acetazolamide-responsive myotonia	MONDO:0020483	SCN4A
partial trisomy/tetrasomy of the short arm of chromosome 5	MONDO:0016942	NIPBL
macular corneal dystrophy	MONDO:0009020	CHST6
dilated cardiomyopathy 1II	MONDO:0014073	CRYAB
combined immunodeficiency due to MALT1 deficiency	MONDO:0014197	MALT1
nephrolithiasis, X-linked recessive, with renal failure	MONDO:0010687	CLCN5
hyperparathyroidism 1	MONDO:0007767	CDC73
congenital short bowel syndrome 1	MONDO:0020718	CLMP
Hashimoto thyroiditis	MONDO:0007699	CTLA4
genetic non-syndromic obesity	MONDO:0020075	CEP19 | LEP | LEPR | MC4R | PCSK1 | POMC | SH2B1 | SIM1
arrhythmogenic right ventricular dysplasia 10	MONDO:0012434	DSG2
oculocutaneous albinism type 4	MONDO:0011683	SLC45A2
nasal cavity and paranasal sinus carcinoma	MONDO:0056819	ING1 | PTEN | TNFRSF10B
spermatogenic failure 28	MONDO:0054732	FANCM
46,XY disorder of sex development due to impaired androgen production	MONDO:0017970	AKR1C2 | AKR1C4 | CYB5A | CYP11A1 | CYP17A1 | DHCR7 | HSD17B3 | HSD3B2 | LHB | LHCGR | POR | SRD5A2 | STAR
qualitative or quantitative protein defects in neuromuscular diseases	MONDO:0016139	ABCC9 | ACTA1 | ACTC1 | ACTN2 | ANKRD1 | ANO5 | ATP2A1 | B3GALNT2 | B4GAT1 | BAG3 | BIN1 | CAP2 | CAPN3 | CASQ1 | CAV3 | CFL2 | COL4A1 | COL6A1 | COL6A2 | COL6A3 | CRPPA | CRYAB | CSRP3 | DAG1 | DES | DMD | DOLK | DSG2 | DYSF | EMD | FHL1 | FHL2 | FKRP | FKTN | FLNC | GATAD1 | GMPPB | GNE | HACD1 | HAND2 | HSPG2 | ITGA7 | KBTBD13 | KLHL40 | KLHL41 | LAMA2 | LAMA4 | LARGE1 | LDB3 | LMNA | LMOD3 | LTBP4 | MAMLD1 | MAP3K20 | MTM1 | MYBPC3 | MYH6 | MYH7 | MYL2 | MYOT | MYPN | NEB | NEBL | NEXN | PLEC | PLN | POMGNT1 | POMGNT2 | POMK | POMT1 | POMT2 | PPCS | PRDM16 | PSEN1 | PSEN2 | RAF1 | RBM20 | RXYLT1 | RYR1 | SCN5A | SDHA | SELENON | SGCA | SGCB | SGCD | SGCG | SPEG | TAF1A | TAFAZZIN | TCAP | TMPO | TNNC1 | TNNI3 | TNNT1 | TNNT2 | TOR1AIP1 | TPM1 | TPM2 | TPM3 | TRIM32 | TTN | TXNRD2 | VCL
chromosome 2P16.3 deletion syndrome	MONDO:0013696	NRXN1
mild phenylketonuria	MONDO:0019258	PAH
cerebrotendinous xanthomatosis	MONDO:0008948	CYP27A1
myopia 25, autosomal dominant	MONDO:0014982	P4HA2
familial isolated hypoparathyroidism due to impaired PTH secretion	MONDO:0016000	AIRE | PTH
peroxisome biogenesis disorder 8B	MONDO:0013943	PEX16
Majeed syndrome	MONDO:0012316	LPIN2
FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome	MONDO:0018443	FBLN1
epidermolysis bullosa simplex with mottled pigmentation	MONDO:0007556	KRT14 | KRT5
Frasier syndrome	MONDO:0007635	WT1
leukodystrophy	MONDO:0019046	AARS2 | ABCD1 | ACER3 | ADAR | AIMP1 | AIMP2 | ALDH3A2 | ARSA | ASPA | BCAP31 | CLCN2 | CNP | COA8 | CSF1R | CYP27A1 | DARS1 | DARS2 | DEGS1 | EARS2 | EIF2B1 | EIF2B2 | EIF2B3 | EIF2B4 | EIF2B5 | EPRS1 | FAM126A | GALC | GFAP | GJC2 | HEPACAM | HIKESHI | HSPD1 | IFIH1 | ISCA2 | LMNB1 | MLC1 | NADK2 | NDUFA2 | NKX6-2 | PEX1 | PEX10 | PEX11B | PEX12 | PEX13 | PEX14 | PEX16 | PEX19 | PEX2 | PEX26 | PEX3 | PEX5 | PEX6 | PEX7 | PHYH | PLP1 | POLR1C | POLR3A | POLR3B | PSAP | PYCR2 | RARS1 | RNASEH2A | RNASEH2B | RNASEH2C | RNASET2 | RPIA | SAMHD1 | SCP2 | SLC16A2 | SOX10 | TMEM106B | TMEM63A | TREM2 | TREX1 | TUBB4A | TYROBP | UFM1 | VPS11
autosomal dominant pure spastic paraplegia	MONDO:0015088	CPT1C | RTN2 | SLC33A1 | WASHC5
autosomal recessive nonsyndromic deafness 24	MONDO:0012602	RDX
autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain	MONDO:0017937	MPZ
retinitis pigmentosa 37	MONDO:0012625	NR2E3
systemic mastocytosis	MONDO:0016586	ASXL1 | CBL | KIT | RUNX1 | SRSF2 | TET2
mitochondrial complex 1 deficiency, nuclear type 7	MONDO:0032612	NDUFV2
MYH7-related late-onset scapuloperoneal muscular dystrophy	MONDO:0008409	MYH7
immunodeficiency 47	MONDO:0010504	ATP6AP1
microcephaly 9, primary, autosomal recessive	MONDO:0013923	CEP152
hydatidiform mole	MONDO:0006248	C11orf80 | KHDC3L | MEI1 | NLRP7
autosomal recessive non-syndromic intellectual disability	MONDO:0019502	ADK | AGTPBP1 | AIMP1 | ALKBH8 | B3GALNT2 | C12orf4 | CAMK2A | CC2D1A | CLIP1 | CRADD | CRBN | DCPS | EDC3 | EIF3F | ELP2 | EXOSC3 | EXOSC8 | EXOSC9 | EZR | FBXO31 | FMN2 | FRRS1L | GRIK2 | HNMT | IMPA1 | IQSEC1 | KDM5B | LINGO1 | LINS1 | LMAN2L | MAN1B1 | MBOAT7 | MED23 | MED25 | METTL23 | METTL5 | NDST1 | NSUN2 | PGAP1 | PIGC | PRSS12 | RARS2 | RSRC1 | RUSC2 | SLC45A1 | ST3GAL3 | TAF13 | TECR | TNIK | TRAPPC9 | TRMT1 | TRMT10A | TSEN54 | TUSC3 | VRK1 | WASHC4 | ZBTB11 | ZC3H14
Aicardi-Goutieres syndrome 6	MONDO:0014007	ADAR
ovarian dysgenesis 7	MONDO:0020857	MRPS22
congenital heart defects, multiple types	MONDO:0000119	GATA5 | NR2F2 | TAB2
autosomal recessive nonsyndromic deafness 31	MONDO:0011767	WHRN
3-methylcrotonyl-CoA carboxylase 1 deficiency	MONDO:0008861	MCCC1
qualitative or quantitative defects of fukutin	MONDO:0016157	ANO5 | B3GALNT2 | B4GAT1 | COL4A1 | CRPPA | DAG1 | FKRP | FKTN | GMPPB | LARGE1 | POMGNT1 | POMGNT2 | POMK | POMT1 | POMT2 | RXYLT1
coloboma of iris (disease)	MONDO:0020356	ABCB6 | ACTG1 | FZD5 | PAX6 | SALL2
developmental and epileptic encephalopathy, 9	MONDO:0010246	PCDH19
progressive myoclonic epilepsy type 3	MONDO:0012721	KCTD7
intellectual developmental disorder with abnormal behavior, microcephaly, and short stature	MONDO:0032687	PUS7
intellectual disability, autosomal recessive 27	MONDO:0013702	LINS1
neutral lipid storage myopathy	MONDO:0012545	PNPLA2
global developmental delay-neuro-ophthalmological abnormalities-seizures-intellectual disability syndrome	MONDO:0024252	GNB1
Wolfram syndrome	MONDO:0018105	CISD2 | WFS1
blepharocheilodontic syndrome 1	MONDO:0054740	CDH1
lysosomal acid lipase deficiency	MONDO:0010204	LIPA
extragonadal germ cell tumor	MONDO:0018201	JMJD1C
acquired angioedema	MONDO:0019624	XPNPEP2
congenital disorder of glycosylation with skin involvement	MONDO:0018293	ATP6V0A2 | ATP6V1A | ATP6V1E1 | B3GALT6 | B4GALT7 | CHST14 | COG7 | DOLK | DPM1 | DSE | FGF23 | GALNT3 | KL | KRT5 | MPDU1 | MPI | PIGL | PMM2 | POFUT1 | POGLUT1 | PSENEN | SRD5A3 | ST3GAL5
porencephaly-microcephaly-bilateral congenital cataract syndrome	MONDO:0013394	JAM3
spinocerebellar ataxia type 29	MONDO:0007298	ITPR1
microcephaly, facial dysmorphism, renal agenesis, and ambiguous genitalia syndrome	MONDO:0020647	CTU2
benign endocrine neoplasm	MONDO:0000627	GDNF | HNF1A | KIF1B | MAX | RET | SDHB | SDHD | TMEM127 | VHL
primary ciliary dyskinesia 18	MONDO:0013940	DNAAF5
syndromic X-linked intellectual disability 94	MONDO:0010402	GRIA3
familial juvenile hyperuricemic nephropathy type 1	MONDO:0008073	UMOD
tumor of parathyroid gland	MONDO:0021360	CASR | CDC73 | CDKN1A | CDKN1B | CDKN2B | CDKN2C | FGF23 | GALNT3 | GCM2 | KL | MEN1 | SAMD9 | TRPV6
mental retardation, autosomal dominant 57	MONDO:0054837	TLK2
heterotaxy, visceral, 7, autosomal	MONDO:0014762	MMP21
fibular hypoplasia and complex brachydactyly	MONDO:0009231	BMPR1B | GDF5
spinal muscular atrophy, infantile, James type	MONDO:0033621	GARS1
myopia 24, autosomal dominant	MONDO:0014411	SLC39A5
congenital myasthenic syndrome 11	MONDO:0014588	RAPSN
growth hormone insensitivity with immune dysregulation 1, autosomal recessive	MONDO:0100211	STAT5B
Sotos syndrome 3	MONDO:0014951	APC2
COL4A1 or COL4A2-related cerebral small vessel disease with hemorrhagic tendancy	MONDO:0018790	COL4A1 | COL4A2 | COLGALT1
intellectual disability, autosomal recessive 34	MONDO:0013785	CRADD
hypochromic anemia (disease)	MONDO:0001357	SLC11A2 | STEAP3
cone-rod synaptic disorder syndrome, congenital nonprogressive	MONDO:0033543	RIMS2
Cornelia de Lange syndrome 1	MONDO:0007387	NIPBL
neurodevelopmental disorder and language delay with or without structural brain abnormalities	MONDO:0032697	PPP2CA
Polymerase proofreading-related adenomatous polyposis	MONDO:0018653	POLD1 | POLE
orofaciodigital syndrome V	MONDO:0008267	DDX59
achromatopsia 7	MONDO:0014677	ATF6
medulloblastoma	MONDO:0007959	BRCA2 | CTNNB1 | PTCH2 | SUFU
pediatric acute respiratory distress syndrome	MONDO:0100131	ABCA3 | SFTPB | SFTPC
gnathodiaphyseal dysplasia	MONDO:0008151	ANO5
riboflavin transporter deficiency	MONDO:0008891	SLC52A2 | SLC52A3
Cornelia de Lange syndrome 2	MONDO:0010370	SMC1A
neurodevelopmental disorder with ataxic gait, absent speech, and decreased cortical white matter	MONDO:0060624	RAB11B
